IOS, Android,EN,CN,ES,FR,DE,IT,NL,AR,JP,KR
bc.push.Your_something,,Your %@ ,你的%@,Su %@,Votre %@,Ihre %@,La scheda microSD %@,Uw %@,%@ الخاص بك,,
bc.push.sdcard_formatting_tip,,microSD card is formatting.,SD卡正在格式化,La tarjeta microSD se está formateando.,Formatage de la carte microSD…,Die microSD-Karte wird formatiert.,è in fase di formattazione.,De microSD-kaart wordt geformatteerd.,تتم تهيئة بطاقة microSD,,
bc.push.gsensor_triggered_tip,,Attention! Someone is moving the camera %@,请注意，摄像头%@可能正在被移动,¡Atención! Alguien está moviendo la cámara %@,Attention ! Quelqu'un déplace la caméra %@,Achtung! Die Kamera %@ wurde bewegt,Attenzione. Qualcuno sta spostando la telecamera %@,Waarschuwing! Iemand beweegt de camera %@,انتباه! يحرّك أحدهم الكاميرا %@,,
bc.push.detected_stranger,,Someone has been spotted.,检测到有人,Se ha detectado a alguien.,Une présence a été repérée.,Eine Person wurde entdeckt.,È stata rilevata una presenza.,Er is iemand gedetecteerd.,لقد تم رصد أحدهم.,誰かが見つかりました,누군가를 발견했습니다.
bc.push.nosdcard_tip,,Please insert a microSD card.,请插入SD卡,Introduzca una tarjeta microSD.,Insérez une carte microSD.,Bitte eine microSD-Karte einlegen.,Inserire una scheda MicroSD.,Plaats een microSD-kaart.,يُرجى إدخال بطاقة microSD.,,microSD 카드를 삽입하십시오.
bc.push.lowbattery_tip,,is in low battery.,处于低电量,batería baja.,a une batterie faible.,hat einen schwachen Akku.,ha la batteria quasi scarica.,heeft een bijna lege batterij.,مستوى شحن البطارية منخفض.,,
bc.push.cloud_service_will_expire_warning,,%1$@cloud storage service will expire in %2$@ %3$@,%1$@云存储服务在 %2$@ %3$@内即将到期。,El servicio de almacenamiento en la nube %1$@ caducará en %2$@ %3$@,%1$@Le service de stockage sur le Cloud expirera dans %2$@ %3$@,%1$@Cloud-Speicherdienst läuft in %2$@ %3$@ ab.,%1$Il servizio di archiviazione cloud @ scade tra %2$@ %3$@,%1$@cloudopslagservice verloopt over %2$@ %3$@,ستنتهي فترة خدمة التخزين على السحابة التابعة لـ %1$@ في %2$@ %3$@,,
bc.push.is_closed,,is closed,关闭,está cerrado,est fermé,wurde geschlossen,è chiuso,is gesloten,مغلقة,,
bc.push.cam_overheating_tip,,is overheating.,高温,se está sobrecalentando.,surchauffe.,überhitzt.,si sta surriscaldando.,is oververhit.,درجة حرارتها ترتفع.,,
bc.push.is_online,,is online,离线,está conectada,est en ligne,ist online,è online,is online,متصلة بالإنترنت,,
bc.push.sdcard_mount_fail_tip,,Failed to read microSD card.,读取SD卡失败,Fallo al leer la tarjeta microSD.,La lecture de la carte microSD a échoué.,Die microSD-Karte konnte nicht gelesen werden.,Impossibile leggere la scheda microSD.,microSD-kaart lezen mislukt.,فشلت قراءة بطاقة microSD.,,
bc.push.event,,event,事件,evento,événement,Ereignis,evento,gebeurtenis,حدث,,이벤트
bc.push.system_schedule,,Schedule,计划,Horario,Programme,Zeitplan,Programma,Schema,الجدول,,스케줄
bc.push.system_geofencing,,Geofencing,地理围栏,Geovallado,Géorepérage,Geofencing,Geofencing,Geofencing,السياج الجغرافي,,지오펜싱
bc.push.home_base_alarm_pir_or_motion,,%@ is alarming due to motion detected.,%@ 因为移动侦测正在报警。,%@ emite una alarma porque se ha detectado movimiento.,La %@ émet une alarme en raison d'un mouvement détecté.,"%@ gibt einen Alarm aus, weil eine Bewegung erkannt wurde.",L'unità %@ è in allarme per rilevamento di movimento.,Het alarm van %@ gaat af omdat er beweging is gedetecteerd.,يطلق %@ تنبيهًا بسبب اكتشاف حركة.,,
bc.push.home_base_alarm_door,,%@ is alarming due to sensor triggered.,%@ 因门磁触发正在报警。,%@ emite una alarma porque se ha activado el sensor.,La %@ émet une alarme en raison du déclenchement du capteur.,"%@ gibt einen Alarm aus, weil ein Sensor ausgelöst wurde.",L'unità %@ è in allarme per l'attivazione di un sensore.,Het alarm van %@ gaat af omdat de sensor is getriggerd.,يطلق %@ تنبيهًا بسبب تشغيل جهاز الاستشعار.,,
bc.push.home_base_alarm_gsensor,,%@ is alarming due to camera anti-theft triggered.,%@ 因摄像头被异常移动正在报警。,%@ emite una alarma porque se ha activado la detección antirrobo.,La %@ émet une alarme en raison du déclenchement de l'antivol de la caméra.,"%@ gibt einen Alarm aus, weil der Diebstahlschutz der Kamera ausgelöst wurde.",L'unità %@ è in allarme per l'attivazione del sistema antifurto della telecamera.,Het alarm van %@ gaat af omdat de antidiefstalfunctie van de camera is getriggerd.,يطلق %@ تنبيهًا بسبب تشغيل جهاز مكافحة السرقة في الكاميرا.,,
bc.push.camera_battery_full,,Camera is fully charged.,摄像头已充满电,La cámara se ha cargado en su totalidad.,La caméra est entièrement chargée.,Die Kamera ist vollständig aufgeladen.,La telecamera è completamente carica.,De camera is volledig opgeladen.,اكتمل شحن الكاميرا.,,카메라가 완전히 충전되었습니다.
,,,,,,,,,,,
bc.push.system_switched_ex,,The system has been switched to %@ mode by %@,系统已根据%@切换到%@模式。,El sistema ha cambiado al modo %@ mediante la %@,Le système est passé en mode %@e en fonction du %@,Das System ist gemäß %2$@ in den Modus %1$@ gewechselt,Il sistema è passato alla modalità %@ in base alla %@,Het systeem is volgens het %@ in %@ modus gezet,انتقل النظام إلى الوضع %@ حسب %@,,
bc.push.system_switched_default,,The system has automatically switched security modes according to the settings,系统已根据设置自动切换了模式。,El sistema ha cambiado automáticamente los modos de seguridad de acuerdo con la configuración,Le système a automatiquement basculé les modes de sécurité en fonction des paramètres,Das System hat den Sicherheitsmodus automatisch gemäß den Einstellungen umgestellt,Il sistema ha commutato automaticamente le modalità di sicurezza in base alle impostazioni,Het systeem heeft automatisch de beveiligingsmodi omgeschakeld volgens de instellingen,قام النظام تلقائيًا بتبديل أوضاع الأمان وفقًا للإعدادات.,,
bc.push.home_base_alarm_door_by_device,,%@ is alarming due to %@'s triggered.,%@ 因门磁%@被触发正在报警。,%@ emite una alarma porque %@ se ha activado el sensor.,La %@ émet une alarme en raison du %@ déclenchement du capteur.,"%@ gibt einen Alarm aus, weil %@ ein Sensor ausgelöst wurde.",L'unità %@ è in allarme per %@ l'attivazione di un sensore.,Het alarm van %@ gaat af omdat %@ de sensor is getriggerd.,يطلق %@ تنبيهًا بسبب %@ تشغيل جهاز الاستشعار.,,
bc.push.home_base_alarm_gsensor_by_device,,%@ is alarming due to %@'s anti-theft triggered.,%@ 因摄像头%@被异常移动正在报警。,%@ emite una alarma porque %@ se ha activado la detección antirrobo.,La %@ émet une alarme en raison du %@ déclenchement de l'antivol de la caméra.,"%@ gibt einen Alarm aus, weil %@ der Diebstahlschutz der Kamera ausgelöst wurde.",L'unità %@ è in allarme per %@ l'attivazione del sistema antifurto della telecamera.,Het alarm van %@ gaat af omdat %@ de antidiefstalfunctie van de camera is getriggerd.,يطلق %@ تنبيهًا بسبب %@ تشغيل جهاز مكافحة السرقة في الكاميرا.,,
bc.push.sdcard_remount,,Please remount the microSD card.,请重新安装SD卡。,Vuelva a montar la tarjeta microSD.,Veuillez remonter la carte microSD.,Bitte montieren Sie die microSD-Karte erneut.,Rimontare la scheda microSD.,Monteer de microSD-kaart opnieuw.,يرجى إعادة تحميل بطاقة microSD.,,
bc.push.sdcard_format,,Please format the microSD card.,请格式化SD卡,Formatee la tarjeta microSD.,Veuillez formater la carte microSD.,Bitte formatieren Sie die microSD-Karte.,Si prega di formattare la scheda microSD.,Formatteer de microSD-kaart.,يرجى تهيئة بطاقة microSD.,,
bc.push.sdcard_format_immediately,,Please format the microSD card immediately.,请立即格式化SD卡,Formatee la tarjeta microSD de inmediato.,Veuillez formater immédiatement la carte microSD.,Bitte formatieren Sie die microSD-Karte sofort.,Formattare immediatamente la scheda microSD.,Formatteer de microSD-kaart onmiddellijk.,يرجى تهيئة بطاقة microSD على الفور.,,
bc.push.sdcard_new_detected,,New microSD card detected,检测到新SD卡,Nueva tarjeta microSD detectada,Nouvelle carte microSD détectée,Neue microSD-Karte gefunden,Nuova scheda microSD rilevata,Nieuwe microSD-kaart gedetecteerd,تم اكتشاف بطاقة microSD جديدة,,새 microSD 카드 감지됨
,,,,,,,,,,,
bc.push.sdcard_tips1,,New microSD card detected,检测到新SD卡,Nueva tarjeta microSD detectada,Nouvelle carte microSD détectée,Neue microSD-Karte gefunden,Nuova scheda microSD rilevata,Nieuwe microSD-kaart gedetecteerd,تم اكتشاف بطاقة microSD جديدة,新しいmicroSDカードが検出されました,새 microSD 카드가 감지됨
bc.push.sdcard_tips3,,Failed to format microSD card.,格式化SD卡失败,Fallo al formatear la tarjeta microSD.,Le formatage de la carte microSD a échoué.,Die microSD-Karte konnte nicht formatiert werden.,Impossibile formattare la scheda MicroSD.,microSD-kaart formatteren mislukt.,فشلت تهيئة بطاقة microSD.,microSDカードのフォーマットに失敗しました。,microSD 카드를 포맷하지 못함
bc.push.sdcard_tips4,,Please insert a microSD card.,请插入SD卡,Introduzca una tarjeta microSD.,Insérez une carte microSD.,Bitte eine microSD-Karte einlegen.,Inserire una scheda MicroSD.,Plaats een microSD-kaart.,يُرجى إدخال بطاقة microSD.,microSDカードを挿入してください。,microSD 카드를 삽입하십시오.
bc.push.sdcard_tips8,,Please replug the microSD card.,请重新安装SD卡。,Vuelva a montar la tarjeta microSD.,Veuillez remonter la carte microSD.,Bitte montieren Sie die microSD-Karte erneut.,Rimontare la scheda microSD.,Monteer de microSD-kaart opnieuw.,يرجى إعادة تحميل بطاقة microSD.,microSDカードを接続し直してください。,microSD 카드를 다시 꽂으십시오.
bc.push.sdcard_tips9,,Please format the microSD card.,请格式化SD卡,Formatee la tarjeta microSD.,Veuillez formater la carte microSD.,Bitte formatieren Sie die microSD-Karte.,Si prega di formattare la scheda microSD.,Formatteer de microSD-kaart.,يرجى تهيئة بطاقة microSD.,microSDカードをフォーマットしてください。,microSD 카드를 포맷하십시오.
bc.push.sdcard_tips10,,Please format the microSD card immediately.,请立即格式化SD卡,Formatee la tarjeta microSD de inmediato.,Veuillez formater immédiatement la carte microSD.,Bitte formatieren Sie die microSD-Karte sofort.,Formattare immediatamente la scheda microSD.,Formatteer de microSD-kaart onmiddellijk.,يرجى تهيئة بطاقة microSD على الفور.,すぐにmicroSDカードをフォーマットしてください。,즉시 microSD 카드를 포맷하십시오.
bc.push.sdcard_tips0,,microSD card formatted successfully.,microSD card formatted successfully.,Tarjeta microSD formateada correctamente.,Formatage réussi de la carte microSD.,Die microSD-Karte wurde formatiert.,Formattazione della scheda microSD completata.,De microSD-kaart is geformatteerd.,تمت تهيئة بطاقة microSD بنجاح.,microSDカードが正常にフォーマットされました。,microSD 카드 포맷 성공했습니다.
bc.push.sdcard_tips2,,Please replug or format the microSD card.,Please replug or format the micro SD card.,Vuelva a conectar o formatee la tarjeta microSD.,Veuillez réinsérer ou formater la carte microSD.,Setzen Sie die microSD-Karte erneut ein oder formatieren Sie sie.,Reinserire o formattare la scheda micro SD.,Plaats de micro-SD-kaart opnieuw of formatteer deze.,يُرجى إعادة توصيل بطاقة SD الصغيرة أو تهيئتها.,microSDカードを再接続するか、フォーマットしてください。,microSD 카드를 다시 연결하거나 포맷하십시오.
bc.push.emmc_tips0,,Local memory formatted successfully.,Local memory formatted successfully.,La memoria local se ha formateado correctamente.,Formatage de la mémoire locale réussi.,Lokaler Speicher erfolgreich formatiert.,Formattazione della memoria locale riuscita.,Het lokale geheugen is geformatteerd.,تمت تهيئة الذاكرة المحلية بنجاح.,,
bc.push.emmc_tips1,,Please format the local memory immediately.,Please format the local memory immediately.,Formatee la memoria local inmediatamente.,Veuillez formater la carte microSD immédiatement.,Bitte den lokalen Speicher sofort formatieren.,Formattare subito la memoria locale.,Formatteer het lokale geheugen onmiddellijk.,يُرجى تهيئة الذاكرة المحلية على الفور.,,
bc.push.emmc_tips3,,Failed to format local memory.,Failed to format the local memory.,Error al formatear la memoria local.,Échec du formatage de la mémoire locale.,Formatieren des lokalen Speichers fehlgeschlagen.,Impossibile formattare la memoria locale.,Kan het lokale geheugen niet formatteren.,فشلت تهيئة الذاكرة المحلية.,,
bc.push.emmc_tips4,,Please restart the HomeBase 2.,Please restart the HomeBase 2.,Reinicie HomeBase 2.,Veuillez redémarrer la HomeBase 2.,Bitte die HomeBase 2 neu starten.,Riavviare HomeBase 2.,Start de HomeBase 2 opnieuw op.,يُرجى إعادة تشغيل HomeBase 2.,,
bc.push.emmc_tips8,,Please restart the HomeBase 2 or format the local memory.,Please restart the HomeBase 2 or format the local memory.,Reinicie HomeBase 2 o formatee la memoria local.,Veuillez redémarrer la HomeBase 2 ou formater la mémoire locale.,Bitte starten Sie HomeBase 2 neu oder formatieren Sie den lokalen Speicher.,Riavviare HomeBase 2 o formattare la memoria locale.,Start HomeBase 2 opnieuw of formatteer het lokale geheugen.,يرجى إعادة تشغيل HomeBase 2 أو تنسيق الذاكرة المحلية.,,
bc.push.emmc_tips9,,Please format the local memory.,Please format the local memory.,Formatee la memoria local.,Veuillez formater la mémoire locale.,Bitte den lokalen Speicher formatieren.,Formattare la memoria locale.,Formatteer het lokale geheugen.,يُرجى تهيئة الذاكرة المحلية.,,
bc.push.emmc_tips13,,Please repair the local memory immediately.,Please repair the local memory immediately.,Repare la memoria local de inmediato.,Veuillez réparer immédiatement la mémoire locale.,Bitte reparieren Sie den lokalen Speicher sofort.,Si prega di riparare immediatamente la memoria locale.,Herstel het lokale geheugen onmiddellijk.,يرجى إصلاح الذاكرة المحلية على الفور.,,
bc.push.emmc_tips15,,Please repair the local memory.,Please repair the local memory.,Por favor repare la memoria local.,S'il vous plaît réparer la mémoire locale.,Bitte reparieren Sie den lokalen Speicher.,Si prega di riparare la memoria locale.,Herstel het lokale geheugen.,يرجى إصلاح الذاكرة المحلية.,,
bc.push.sdcard_tips7,,Please format the microSD card later.,Please format the microSD card later.,Formatee la tarjeta microSD más tarde.,Veuillez formater la carte microSD ultérieurement.,Bitte formatieren Sie die microSD-Karte später.,Formattare la scheda microSD in un secondo momento.,Formatteer de microSD-kaart later.,يرجى تهيئة بطاقة microSD في وقت لاحق.,microSDカードを後でフォーマットしてください。,microSD 카드를 나중에 포맷하십시오.
bc.push.sdcard_tips15,,Please repair the microSD card.,Please repair the microSD card.,Por favor repare la tarjeta microSD.,S'il vous plaît réparer la carte microSD.,Bitte reparieren Sie die microSD-Karte.,Si prega di riparare la scheda microSD.,Repareer de microSD-kaart.,يرجى إصلاح بطاقة microSD.,microSDカードを修復してください。,microSD 카드를 복구하십시오.
bc.push.sdcard_tips13,,Please repair the microSD card immediately.,Please repair the microSD card immediately.,Repare la tarjeta microSD de inmediato.,Veuillez réparer la carte microSD immédiatement.,Bitte reparieren Sie die microSD-Karte sofort.,Si prega di riparare immediatamente la scheda microSD.,Herstel de microSD-kaart onmiddellijk.,يرجى إصلاح بطاقة microSD على الفور.,microSDカードをただちに修復してください。,즉시 microSD 카드를 복구하십시오.
bc.push.home_base_switch_power_supply,,The HomeBase is working on the backup battery.,,HomeBase está trabajando en la batería de respaldo.,La HomeBase fonctionne sur la batterie de secours.,Die HomeBase arbeitet an der Pufferbatterie.,HomeBase funziona con la batteria di backup.,De HomeBase werkt op de back-upbatterij.,HomeBase تعمل على بطارية احتياطية.,,
bc.push.home_base_switch_backup_battery,,The HomeBase is working on the power supply.,,HomeBase está trabajando en la fuente de alimentación.,La HomeBase travaille sur l'alimentation.,Die HomeBase arbeitet an der Stromversorgung.,HomeBase sta funzionando con l'alimentatore.,De HomeBase werkt aan de stroomvoorziening.,HomeBase تعمل على امدادات الطاقة.,,
bc.push.system_alarm,,Sound alarm is enabled.,报警已启用,La alarma con sonido está activada.,L'alarme sonore est activée.,Alarmton ist aktiviert.,L'allarme acustico è attivo.,Geluidsalarm is ingeschakeld.,تم تمكين المنبّه.,音声アラームが有効です。,사운드 알람이 활성화되어 있습니다.
bc.push.verification.content,,The verification code is %@. (Valid within 5 minutes),,El código de verificación es %@. (Válido en 5 minutos),Le code de vérification est %@. (Valable dans les 5 minutes),Der Bestätigungscode lautet %@. (Gültig innerhalb von 5 Minuten),Il codice di verifica è %@. (Valido entro 5 minuti),De verificatiecode is %@. (Geldig binnen 5 minuten),رمز التحقق هو%@. (صالح خلال 5 دقائق),確認コードは%@です。 （5分以内に有効）,확인 코드는 %@입니다(5분 이내에 유효).
esl.push.lock.title,,Locked - %@,,,,,,,,,
esl.push.unlock.title,,Unlocked - %@,,,,,,,,,
esl.push.lowBattery.title,,Battery Low - %@,,,,,,,,,
esl.push.emptyBattery.title,,Battery Empty - %@,,,,,,,,,
esl.push.wrongPsw.title,,Wrong-Try Protect - %@,,,,,,,,,
esl.push.offline.title,,Offline - %@,,,,,,,,,
esl.push.lock.failed.title,,Unable to Lock - %@,,,,,,,,,
esl.push.unlock.failed.title,,Unable to unlock - %@,,,,,,,,,
esl.push.tamperedWarn.title,,Tampered Warning - %@,,,,,,,,,
esl.push.unlock.content,,The door was unlocked,,,,,,,,,
esl.push.lock.content,,The door was locked,,,,,,,,,
esl.push.autoUnlock.content,,Door auto unlocked by %@,,,,,,,,,
esl.push.unlockBy.content,,Door unlocked by %@,,,,,,,,,
esl.push.lockBy.content,,Door locked by %@,,,,,,,,,
esl.push.lowBattery.content,,Your lock is running low on battery. Please replace the battery in time.,,,,,,,,,
esl.push.emptyBattery.content,,Your lock's battery is almost empty. Remote control has been disabled to save battery.,,,,,,,,,
esl.push.wrongPsw.content,,Your lock has been attempted to unlock and failed multiple times.,,,,,,,,,
esl.push.offline.content,,The lock named %@ is offline.,,,,,,,,,
esl.push.lock.failed.content,,Unable to Lock. Please make sure the deadbolt isn't blocked.,,,,,,,,,
esl.push.unlock.failed.content,,Unable to unlock. The deadbolt may be stuck.,,,,,,,,,
esl.push.tamperedWarn.content,,Your lock has been tampered with.,,,,,,,,,
esl.push.daylight_start.title,,Daylight saving time has started.,,,,,,,,,
esl.push.daylight_end.title,,Daylight saving time has started.,,,,,,,,,
esl.push.daylight.content,,You can update the time of your lock %@ by connecting it to the app.,,,,,,,,,
